"","type","distribution","g1,g2","p,q","pvalue","pvalue_sqv","BIC"
"91","eGARCH","std","1,1","0,0",2.45139020194074e-09,"0","-4.12959142092652"
"92","eGARCH","std","1,1","0,1",2.22044604925031e-16,"0","-4.12840761690474"
"93","eGARCH","std","1,1","0,2",1.11022302462516e-16,"0","-4.12514008679106"
"94","eGARCH","std","1,1","0,3",0,"0","-4.12179795295511"
"95","eGARCH","std","1,1","0,4",0,"0","-4.11917821052644"
"96","eGARCH","std","1,1","0,5",0,"0","-4.11583094257794"
"97","eGARCH","std","1,1","1,0",2.22044604925031e-16,"0","-4.12845531167917"
"98","eGARCH","std","1,1","1,1",6.66133814775094e-16,"0","-4.12523122546056"
"99","eGARCH","std","1,1","1,2",1.11022302462516e-16,"0","-4.12196339048111"
"100","eGARCH","std","1,1","1,3",0,"0","-4.1186433258013"
"101","eGARCH","std","1,1","1,4",0,"0","-4.11585523941619"
"102","eGARCH","std","1,1","1,5",0,"0","-4.1125006862079"
"103","eGARCH","std","1,1","2,0",1.11022302462516e-16,"0","-4.12515143745019"
"104","eGARCH","std","1,1","2,1",1.11022302462516e-16,"0","-4.12196418581236"
"105","eGARCH","std","1,1","2,2",0,"0","-4.11864518236163"
"106","eGARCH","std","1,1","2,3",0,"0","-4.11877594969231"
"107","eGARCH","std","1,1","2,4",0,"0","-4.11297922377433"
"108","eGARCH","std","1,1","2,5",0,"0","-4.11005859771112"
"109","eGARCH","std","1,1","3,0",0,"0","-4.1217982295002"
"110","eGARCH","std","1,1","3,1",0,"0","-4.11862843749886"
"111","eGARCH","std","1,1","3,2",0,"0","-4.11755975526901"
"112","eGARCH","std","1,1","3,3",0,"0","-4.11422705547243"
"113","eGARCH","std","1,1","3,4",0,"0","-4.11219173896123"
"114","eGARCH","std","1,1","4,0",0,"0","-4.119105490751"
"115","eGARCH","std","1,1","4,1",0,"0","-4.11580429673997"
"116","eGARCH","std","1,1","4,2",0,"0","-4.11514285288495"
"117","eGARCH","std","1,1","4,3",0,"0","-4.1119621410542"
"118","eGARCH","std","1,1","5,0",0,"0","-4.11577817071424"
"119","eGARCH","std","1,1","5,1",0,"0","-4.11360852191474"
"120","eGARCH","std","1,1","5,2",0,"0","-4.10974861614254"
