"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"211","yearly","eGARCH","norm","3,1","0,0","-3.92959083613116",2.45139020194074e-09
"212","yearly","eGARCH","std","3,1","0,0","-1.05770965857098",2.45139020194074e-09
"213","yearly","eGARCH","norm","3,1","0,1","-3.92675300081328",1.18349774425042e-13
"214","yearly","eGARCH","std","3,1","0,1","-1.08940994268793",0.0144429625108802
"215","yearly","eGARCH","norm","3,1","0,2","-3.92404466088991",8.43769498715119e-14
"216","yearly","eGARCH","norm","3,1","1,0","-3.9267904420083",1.31006316905768e-14
"217","yearly","eGARCH","norm","3,1","1,1","-3.92372354685071",2.35367281220533e-14
"218","yearly","eGARCH","std","3,1","1,1","-1.62342546375617",0.0250488358958431
"219","yearly","eGARCH","norm","3,1","1,2","-3.92124520876171",2.1094237467878e-15
"220","yearly","eGARCH","std","3,1","1,2","-0.975841850609376",0.398423558537318
"221","yearly","eGARCH","norm","3,1","2,0","-3.92399824483164",1.51545442861334e-13
"222","yearly","eGARCH","std","3,1","2,0","-0.994417689207237",0.0283876173634949
"223","yearly","eGARCH","norm","3,1","2,1","-3.92117477766882",1.48769885299771e-14
"224","yearly","eGARCH","norm","3,1","2,2","-3.9278776433314",2.87470047766192e-12
"225","yearly","eGARCH","std","3,1","2,2","-1.03843907141277",0.663704152521803
"226","yearly","eGARCH","norm","3,2","0,0","-3.9337506315434",2.45139020194074e-09
"227","yearly","eGARCH","std","3,2","0,0","-1.30220183574573",2.45139020194074e-09
"228","yearly","eGARCH","norm","3,2","0,1","-3.93097549393263",1.01918473660589e-13
"229","yearly","eGARCH","std","3,2","0,1","-1.5843095164522",0.0144423499742119
"230","yearly","eGARCH","norm","3,2","0,2","-3.9283681984033",8.02691246803988e-14
"231","yearly","eGARCH","std","3,2","0,2","-1.99910232961332",0.0484499631563167
"232","yearly","eGARCH","norm","3,2","1,0","-3.93075872408634",1.14130926931466e-13
"233","yearly","eGARCH","norm","3,2","1,1","-3.9279730167612",2.08721928629529e-14
"234","yearly","eGARCH","std","3,2","1,1","-1.70333157077726",0.0249565241115238
"235","yearly","eGARCH","norm","3,2","1,2","-3.92563396823704",5.55111512312578e-15
"236","yearly","eGARCH","std","3,2","1,2","-1.65588846515271",0.398356323188875
"237","yearly","eGARCH","norm","3,2","2,0","-3.92831735655614",1.75304215588312e-13
"238","yearly","eGARCH","std","3,2","2,0","-1.88114538005696",0.026153699533833
"239","yearly","eGARCH","norm","3,2","2,1","-3.92554916880003",1.29896093881143e-14
"240","yearly","eGARCH","norm","3,2","2,2","-3.93022507325297",4.01900734914307e-14
"241","yearly","eGARCH","std","3,2","2,2","-1.59695460598074",0.663555199231112
"242","yearly","eGARCH","norm","3,3","0,0","-3.94729410125223",2.45139020194074e-09
"243","yearly","eGARCH","std","3,3","0,0","-4.1176100647261",2.45139020194074e-09
"244","yearly","eGARCH","norm","3,3","0,1","-3.92764278521626",1.01918473660589e-13
"245","yearly","eGARCH","norm","3,3","0,2","-3.91898355681523",1.56874513379535e-13
"246","yearly","eGARCH","std","3,3","0,2","-1.95919223759724",0.0566470044660961
"247","yearly","eGARCH","norm","3,3","1,0","-3.92768670426457",5.85087533977457e-14
"248","yearly","eGARCH","std","3,3","1,0","-3.05002653463872",0.0231412424053077
"249","yearly","eGARCH","norm","3,3","1,1","-3.92464192925531",1.75415237890775e-14
"250","yearly","eGARCH","norm","3,3","1,2","-3.91663269191836",5.55111512312578e-16
"251","yearly","eGARCH","std","3,3","1,2","-1.66344196676674",0.398415882676209
"252","yearly","eGARCH","norm","3,3","2,0","-3.9189158942416",4.12780920555633e-13
"253","yearly","eGARCH","std","3,3","2,0","-2.00556699260425",0.0153273936811616
"254","yearly","eGARCH","norm","3,3","2,1","-3.91647676422377",4.44089209850063e-15
"255","yearly","eGARCH","norm","3,3","2,2","-3.92322287616395",1.4210854715202e-14
"256","yearly","gjrGARCH","norm","1,1","0,0","-3.93825502565344",2.45139020194074e-09
"257","yearly","gjrGARCH","std","1,1","0,0","-4.12235116003372",2.45139020194074e-09
"258","yearly","gjrGARCH","norm","1,1","0,1","-3.93493590114162",2.45085396421985e-10
