"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"120","daily","sGARCH","norm","2,2","4,3","-3.91032033933901",0
"121","daily","sGARCH","norm","2,3","0,0","-3.9203393276486",3.63518470880564e-09
"122","daily","sGARCH","norm","2,3","0,1","-3.91739469887952",9.9520391927399e-13
"123","daily","sGARCH","norm","2,3","0,2","-3.91471357451038",1.08690834110803e-12
"124","daily","sGARCH","norm","2,3","0,3","-3.91161906068701",3.86357612569554e-14
"125","daily","sGARCH","norm","2,3","0,4","-3.90855441637504",4.10782519111308e-15
"126","daily","sGARCH","norm","2,3","1,0","-3.9174230454145",6.0151883474191e-13
"127","daily","sGARCH","norm","2,3","1,1","-3.91438873060668",2.36255459640233e-13
"128","daily","sGARCH","norm","2,3","1,2","-3.9117051657965",4.9515946898282e-14
"129","daily","sGARCH","norm","2,3","1,3","-3.90844992799151",3.44169137633799e-15
"130","daily","sGARCH","norm","2,3","1,4","-3.9052307316294",6.66133814775094e-16
"131","daily","sGARCH","norm","2,3","2,0","-3.91469845007659",1.72573066947734e-12
"132","daily","sGARCH","norm","2,3","2,1","-3.91166438653072",8.27116153345742e-14
"133","daily","sGARCH","norm","2,3","2,2","-3.90955233781983",1.24344978758018e-14
"134","daily","sGARCH","norm","2,3","2,3","-3.90572687097219",2.22044604925031e-16
"135","daily","sGARCH","norm","2,3","2,4","-3.90763790699587",1.4432899320127e-15
"136","daily","sGARCH","norm","2,3","3,0","-3.91161049196381",5.95079541199084e-14
"137","daily","sGARCH","norm","2,3","3,1","-3.90840000346203",5.77315972805081e-15
"138","daily","sGARCH","norm","2,3","3,2","-3.90679992871964",4.77395900588817e-15
"139","daily","sGARCH","norm","2,3","3,3","-3.90295916637537",1.09863229624807e-11
"140","daily","sGARCH","norm","2,3","3,4","-3.90125679407717",1.11022302462516e-16
"141","daily","sGARCH","norm","2,3","4,0","-3.90844946251793",7.32747196252603e-15
"142","daily","sGARCH","norm","2,3","4,1","-3.90512140181078",1.11022302462516e-15
"143","daily","sGARCH","norm","2,3","4,2","-3.91006850691732",0
