"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"147","daily","sGARCH","norm","3,1","0,3","-3.91107767473851",2.66076050081665e-12
"148","daily","sGARCH","norm","3,1","0,4","-3.9083601577532",1.51434420558871e-13
"149","daily","sGARCH","norm","3,1","1,0","-3.91712190981348",1.89718241117021e-11
"150","daily","sGARCH","norm","3,1","1,1","-3.91404350805979",3.01092484278342e-12
"151","daily","sGARCH","norm","3,1","1,2","-3.9112907296412",1.27764465673863e-12
"152","daily","sGARCH","norm","3,1","1,3","-3.90826770853779",4.7972736894053e-13
"153","daily","sGARCH","norm","3,1","1,4","-3.90506644477881",2.00950367457153e-14
"154","daily","sGARCH","norm","3,1","2,0","-3.91433971321545",4.00824928803445e-11
"155","daily","sGARCH","norm","3,1","2,1","-3.91127251677421",1.77435843795593e-12
"156","daily","sGARCH","norm","3,1","2,2","-3.91271824239369",1.15539799949715e-11
"157","daily","sGARCH","norm","3,1","2,3","-3.90892084613404",6.36157793110215e-14
"158","daily","sGARCH","norm","3,1","2,4","-3.9057966122777",2.53130849614536e-14
"159","daily","sGARCH","norm","3,1","3,0","-3.91110163483309",3.58013618750874e-12
"160","daily","sGARCH","norm","3,1","3,1","-3.90767473061835",2.28739249763521e-12
"161","daily","sGARCH","norm","3,1","3,2","-3.90512914551528",1.83186799063151e-14
"162","daily","sGARCH","norm","3,1","3,3","-3.90598488200184",2.88991053309928e-13
"163","daily","sGARCH","norm","3,1","3,4","-3.9023749593985",6.21724893790088e-15
"164","daily","sGARCH","norm","3,1","4,0","-3.90823907279752",3.11861647617206e-13
"165","daily","sGARCH","norm","3,1","4,1","-3.90493652790392",4.11892742135933e-14
"166","daily","sGARCH","norm","3,1","4,2","-3.9056889502364",8.30890911629467e-13
"167","daily","sGARCH","norm","3,1","4,3","-3.90469863595286",0
"168","daily","sGARCH","norm","3,2","0,0","-3.92314438557907",3.01658342749533e-09
"169","daily","sGARCH","norm","3,2","0,1","-3.92004334343405",5.03930230877359e-12
"170","daily","sGARCH","norm","3,2","0,2","-3.9173048495397",6.66089405854109e-12
"171","daily","sGARCH","norm","3,2","0,3","-3.91409022494182",4.90607554581857e-13
"172","daily","sGARCH","norm","3,2","0,4","-3.91113435181655",4.31876756579186e-14
"173","daily","sGARCH","norm","3,2","1,0","-3.92005714335707",3.61277674443272e-12
"174","daily","sGARCH","norm","3,2","1,1","-3.91702746338159",9.54236689665322e-13
"175","daily","sGARCH","norm","3,2","1,2","-3.91422960826224",3.57602836231763e-13
